Date:,12/4/2022,
coordinates:,"62.46805, 6.30238",
location:,"40.76000000,-73.98400000",
hour,Elevation,Azimuth
0:20:00,-0.833,69.27
1:00:00,3.61,78.11
2:00:00,10.51,91.34
3:00:00,17.37,104.9
4:00:00,23.8,119.19
5:00:00,29.35,134.58
6:00:00,33.54,151.28
7:00:00,35.91,169.11
8:00:00,36.13,187.47
9:00:00,34.18,205.47
10:00:00,30.32,222.42
11:00:00,25.02,238.07
12:00:00,18.74,252.56
13:00:00,11.95,266.24
14:00:00,5.06,279.51
14:53:02,-0.833,291.23
